surface,route,domain,owner_module,priority,canonical_source_sets,project_coverage_claim,project_coverage_named_mockups,matched_claude_candidates,matched_html_file_count,current_figma_status,figma_page,figma_node_ids,current_react_status,react_entry,canonicalization_status,discrepancy_flags,proposed_delivery_wave,next_action
public,/,Marketing,PublicWeb,P0,set1,DONE,Home,Home,2,PRODUCTION,10_Website Desktop | 11_Website Mobile,68:273 | 84:432 | 85:1298,PLACEHOLDER,src/app/(public)/page.tsx,PRODUCTION_APPROVED,,OSLO_WAVE_1_CANDIDATE,IMPLEMENT_FROM_APPROVED_FIGMA_WHEN_TASK_GATE_ALLOWS
public,/marketplace,Marketplace discovery,Listings/Catalog,P0,set36/49,DONE,Marketplace,Marketplace,2,UNDECIDED,,,PLACEHOLDER,src/app/(public)/marketplace/page.tsx,REFERENCE_CANDIDATE_PRESENT,MOCKUP_CLAIM_NOT_PRODUCTION_APPROVAL,LATER,RECONCILE_IN_FIGMA_AND_RECORD_NODE_IDS
public,/marketplace/listings/[listingId],P2P listing,Listings,P0,set36,PARTIAL,ListingReview,ListingReview,2,UNDECIDED,,,PLACEHOLDER,src/app/(public)/marketplace/listings/[listingId]/page.tsx,REFERENCE_CANDIDATE_PRESENT,PARTIAL_OR_SHARED_PATTERN_ONLY,LATER,RECONCILE_IN_FIGMA_AND_RECORD_NODE_IDS
public,/marketplace/products/[productId],Product catalog,Catalog,P1,set49,DONE,ProductDetail,ProductDetail,1,NOT_IN_SCREEN_REGISTRY,,,NOT_IN_SCREEN_REGISTRY,,REFERENCE_CANDIDATE_PRESENT,MOCKUP_CLAIM_NOT_PRODUCTION_APPROVAL,LATER,RECONCILE_IN_FIGMA_AND_RECORD_NODE_IDS
public,/events,Events discovery,Experiences,P0,set37,DONE,Events,Events | Events Discover | Events Grid | Huddle Events,7,UNDECIDED,,,PLACEHOLDER,src/app/(public)/events/page.tsx,REFERENCE_CANDIDATE_PRESENT,MOCKUP_CLAIM_NOT_PRODUCTION_APPROVAL,OSLO_WAVE_2_CANDIDATE,RECONCILE_IN_FIGMA_AND_RECORD_NODE_IDS
public,/events/[eventId],Event detail,Experiences,P0,set37,DONE,EventDetails,EventDetails,2,UNDECIDED,,,PLACEHOLDER,src/app/(public)/events/[eventId]/page.tsx,REFERENCE_CANDIDATE_PRESENT,MOCKUP_CLAIM_NOT_PRODUCTION_APPROVAL,OSLO_WAVE_2_CANDIDATE,RECONCILE_IN_FIGMA_AND_RECORD_NODE_IDS
public,/activities,Activities discovery,Experiences,P0,set18/37,DONE,Activities,Activities,2,PRODUCTION,12_Product Screens,132:2 | 132:173 | 133:236 | 133:429,PLACEHOLDER,src/app/(public)/activities/page.tsx,PRODUCTION_APPROVED,,OSLO_WAVE_1_CANDIDATE,IMPLEMENT_FROM_APPROVED_FIGMA_WHEN_TASK_GATE_ALLOWS
public,/activities/[activityId],Activity detail,Experiences,P1,set3/18,DONE,ActivityDetail,ActivityDetail,1,PRODUCTION,12_Product Screens,134:618 | 134:780,NOT_STARTED,src/app/(public)/activities/[activityId]/page.tsx,PRODUCTION_APPROVED,,OSLO_WAVE_1_CANDIDATE,IMPLEMENT_FROM_APPROVED_FIGMA_WHEN_TASK_GATE_ALLOWS
public,/services,Services discovery,Services,P1,set40/47,DONE,ServicesHome,ServiceCategories | ServiceListings | Services | ServicesHome,8,NOT_IN_SCREEN_REGISTRY,,,NOT_IN_SCREEN_REGISTRY,,REFERENCE_CANDIDATE_PRESENT,MOCKUP_CLAIM_NOT_PRODUCTION_APPROVAL,LATER,RECONCILE_IN_FIGMA_AND_RECORD_NODE_IDS
public,/services/[serviceId],Service detail,Services,P1,set40/47,DONE,ServiceDetails,ServiceDetails,2,NOT_IN_SCREEN_REGISTRY,,,NOT_IN_SCREEN_REGISTRY,,REFERENCE_CANDIDATE_PRESENT,MOCKUP_CLAIM_NOT_PRODUCTION_APPROVAL,LATER,RECONCILE_IN_FIGMA_AND_RECORD_NODE_IDS
